温度    おんど     temperature
断熱圧縮    だんねつあっしゅく     adiabatic compression
断熱膨張    だんねつぼうちょう     adiabatic expansion
水素    すいそ     hydrogen
窒素    ちっそ     nitrogen
酸素    さんそ     oxygen
一酸化炭素    いっさんかたんそ     carbon monoxide
水蒸気    すいじょうき     water vapor
炭酸ガス    たんさんがす     carbon dioxide gas
双曲線    そうきょくせん     hyperbola
準静的変化    じゅんせいてきへんか     quasi-static process
熱機関    ねつきかん     heat engine
供給する    きょうきゅうする     supply
効率    こうりつ     efficiency
冷凍機    れいとうき     refrigerator
閉曲線    へいきょくせん     closed curve
面積    めんせき     area
熱力学の第２法則    ねつりきがくのだい２ほうそく     second law of thermodynamics
逆サイクル    ぎゃくさいくる     reverse cycle
無駄    むだ     uselessness
冷房    れいぼう     air conditioning
エネルギー保存則    えねるぎーほぞんそく     law of conservation of energy
矛盾    むじゅん     contradiction
冷房装置    れいぼうそうち     air conditioner
電力    でんりょく     electric power
浪費    ろうひ     waste
第２種の永久機関    だい２しゅのえいきゅうきかん     perpetual motion of the second kind
帰納的    きのうてき     inductively
推測    すいそく     reasoning
議論    ぎろん     argument
トムソンの原理    とむそんのげんり     Thomson’s principle
等量    とうりょう     same quantity
不可能    ふかのう     impossibility
航海    こうかい     navigation
燃料    ねんりょう     fuel
クラウジウスの原理    くらうじうすのげんり     Clausius’s principle
過程    かてい     process
実現    じつげん     realization
等価    とうか     equal value
深長    しんちょう     deep, profund
不可逆現象    ふかぎゃくげんしょう     irreversible phenomenon
電熱器    でんねつき     electric range
可逆    かぎゃく     reversibility
自由膨張    じゆうぼうちょう     free expansion
授受    じゅじゅ     give and receive
有限な    ゆうげんな     limited
熱力学的温度目盛    ねつりきがくてきおんどめもり     thermodynamic scale of temperature
実在    じつざい     real existence
準静的    じゅんせいてき     quasi-static
連結    れんけつ     connection
不等号    ふとうごう     sign of inequality
可逆熱機関    かぎゃくねつきかん     reversible heat engine
可逆機関    かぎゃくきかん     reversible engine
厳密な定義    げんみつなていぎ     precise definition
白熱電灯    はくねつでんとう     incandescent lamp
蒸気機関車    じょうききかんしゃ     steam locomotive
蛍光灯    けいこうとう     fluorescent light
太陽電池    たいようでんち     solar cell
原子炉    げんしろ     nuclear reactor
燃料電池    ねんりょうでんち     fuel cell
電動機    でんどうき     electric motor
乾電池    かんでんち     dry cell
発電機    はつでんき     dynamo, generator
火力発電    かりょくはつでん     thermal power generation
転換    てんかん     conversion
エントロピー    えんとろぴー     entropy
比例    ひれい     proportion
準静的断熱変化    じゅんせいてきだんねつへんか     quasi-static adiabatic change
同量    どうりょう     same quantity
放出    ほうしゅつ     emission, radiation, release
一意的    いちいてき     unique
横軸    よこじく     horizontal axis
縦軸    たてじく     vertical axis
吸収    きゅうしゅう     absorption
等温線    とうおんせん     isotherm
証明    しょうめい     proof
省略    しょうりゃく     omission, abbreviation
等方一様    とうほういちよう     isotropic uniformity
平行    へいこう     parallel
直線    ちょくせん     straight line
不可逆変化    ふかぎゃくへんか     irreversible change
取得する    しゅとくする     get, acquire
可逆的    かぎゃくてき     reversible
熱伝導    ねつでんどう     thermal conduction
一様性    いちようせい     uniformity
破れる    やぶれる     break
熱平衡状態    ねつへいこうじょうたい     thermal equilibrium state
適用する    てきようする     apply
不等式    ふとうしき     inequality
作業物質    さぎょうぶっしつ     working material
外界    がいかい     external environment
孤立する    こりつする     be isolated, stand alone
特徴的    とくちょうてき     characteristic
総決算    ふってわく     final settlement of accounts suddenly appearance
放熱    ほうねつ     radiation of heat
